person,dept,eow,cause
Patrolman Theodore C. Leslie,"Joplin Police Department, MO","EOW: Tuesday, April 14, 1903",Cause: Gunfire
Policeman John Wesley Robertson,"Henderson Police Department, NC","EOW: Thursday, April 16, 1903",Cause: Gunfire
Deputy Sheriff John Harmon Mundine,"Lee County Sheriff's Department, TX","EOW: Saturday, April 18, 1903",Cause: Gunfire (Accidental)
Deputy Sheriff William E. Tibbet,"Kern County Sheriff's Department, CA","EOW: Sunday, April 19, 1903",Cause: Gunfire
City Marshal Thomas Jefferson Packard,"Bakersfield Police Department, CA","EOW: Monday, April 20, 1903",Cause: Gunfire
Lieutenant Thomas J. Kling,"Rawlins Police Department, WY","EOW: Monday, April 20, 1903",Cause: Gunfire
Police Officer John Baxter,"Rawlins Police Department, WY","EOW: Monday, April 20, 1903",Cause: Gunfire
Constable W. G. Reddick,"Jefferson County Constable's Office - Precinct 1, TX","EOW: Sunday, April 26, 1903",Cause: Gunfire
Constable W. J. Mooneyhan,"Wardell Police Department, MO","EOW: Sunday, May 3, 1903",Cause: Gunfire
Patrolman Thomas Reedy,"East St. Louis Police Department, IL","EOW: Tuesday, May 5, 1903",Cause: Gunfire
Deputy Sheriff Joel Maurice Walker Tumlinson,"Dimmit County Sheriff's Department, TX","EOW: Sunday, May 10, 1903",Cause: Heart attack
Jailer Jerry Emerson,"Logan County Sheriff's Office, OK","EOW: Thursday, May 14, 1903",Cause: Gunfire
Deputy Constable Thomas M. Vaughn,"Douglas Police Department, AZ","EOW: Saturday, May 16, 1903",Cause: Gunfire
Patrolman Stephen O. Flanagan,"Kansas City Police Department, MO","EOW: Saturday, May 16, 1903",Cause: Gunfire
Chief of Police George W. Snyder,"Wilkinsburg Borough Police Department, PA","EOW: Sunday, May 17, 1903",Cause: Heart attack
Police Officer Hugh J. McCartney,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, May 31, 1903",Cause: Assault
Patrolman Joseph P. Keenan,"Kansas City Police Department, MO","EOW: Tuesday, June 2, 1903",Cause: Drowned
City Marshal William R. Kinard,"Eagle Lake Police Department, TX","EOW: Thursday, June 4, 1903",Cause: Gunfire
Deputy Sheriff Jack Faul Williams,"Valley County Sheriff's Office, MT","EOW: Saturday, June 6, 1903",Cause: Gunfire
Patrolman John Ledbetter,"Joplin Police Department, MO","EOW: Wednesday, June 10, 1903",Cause: Assault
Posseman Charles Hill,"Valley County Sheriff's Office, MT","EOW: Monday, June 15, 1903",Cause: Gunfire
Special Police Officer Maurice Ahearn,"New Rochelle Police Department, NY","EOW: Saturday, June 20, 1903",Cause: Gunfire
Detective William F. Murphy,"Peoria Police Department, IL","EOW: Tuesday, June 23, 1903",Cause: Gunfire
Deputy Marshal Gus Hall,"Olive Hill Police Department, KY","EOW: Thursday, June 25, 1903",Cause: Gunfire
Marshal James C. A. Parsons,"Centralia Police Department, WA","EOW: Tuesday, June 30, 1903",Cause: Gunfire
Deputy U.S. Marshal John B. Jones,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, July 3, 1903",Cause: Gunfire
Patrolman Louis Nelson Massey,"Evansville Police Department, IN","EOW: Saturday, July 4, 1903",Cause: Gunfire
City Marshal John E. Cross,"Geary Police Department, OK","EOW: Tuesday, July 7, 1903",Cause: Gunfire
"Town Constable Henry F. ""Darby"" Bierer","Greensburg Police Department, PA","EOW: Friday, July 10, 1903",Cause: Gunfire
Deputy Sheriff C. E. Pierce,"Big Horn County Sheriff's Office, WY","EOW: Sunday, July 19, 1903",Cause: Gunfire
Police Officer Walter W. Stansbury,"Beaumont Police Department, TX","EOW: Thursday, July 23, 1903",Cause: Gunfire
Chief of Police James King,"Stonega Police Department, VA","EOW: Friday, July 24, 1903",Cause: Gunfire
Deputy Constable James Casey,"Calaveras County Constable's Office, CA","EOW: Sunday, July 26, 1903",Cause: Gunfire
Officer William Leopold Cotter,"California Department of Corrections and Rehabilitation, CA","EOW: Monday, July 27, 1903",Cause: Stabbed
Patrolman Samuel Houston Childress,"Bristol Police Department, TN","EOW: Thursday, August 6, 1903",Cause: Gunfire
Deputy Sheriff Isaac B. Grubbs,"Bell County Sheriff's Office, TX","EOW: Thursday, August 6, 1903",Cause: Gunfire
Chief Special Agent Albert W. Large,"Grand Trunk Railroad Police Department, RR","EOW: Friday, August 7, 1903",Cause: Train accident
Special Agent Matthew E. McGrath,"Illinois Central Railroad Police Department, RR","EOW: Saturday, August 8, 1903",Cause: Gunfire
"Acting Policeman William R. ""Sandy"" Lawson","Richlands Police Department, VA","EOW: Wednesday, August 19, 1903",Cause: Gunfire
Deputy Constable Alfred Hall,"Dickenson County Constable's Office, VA","EOW: Saturday, August 22, 1903",Cause: Gunfire
Police Officer William Y. Hoagland,"St. Louis Metropolitan Police Department, MO","EOW: Monday, August 24, 1903",Cause: Struck by streetcar
Constable William Bolton,"Pulaski County Constable's Office, KY","EOW: Monday, September 7, 1903",Cause: Gunfire
Sheriff George F. Wharton,"Jackson County Sheriff's Department, TX","EOW: Sunday, September 13, 1903",Cause: Gunfire
Deputy Sheriff Frank W. Brugh,"Jackson County Sheriff's Department, TX","EOW: Sunday, September 13, 1903",Cause: Gunfire
Police Officer Albert C. Schaneman,"Seattle Police Department, WA","EOW: Monday, September 14, 1903",Cause: Gunfire
Special Agent Andrew Creason,"Chicago, Rock Island and Pacific Railway Police Department, RR","EOW: Saturday, September 19, 1903",Cause: Assault
Police Officer Thomas Hadican,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, September 20, 1903",Cause: Fall
Marshal Gustive H. Schwake,"North Vernon Police Department, IN","EOW: Wednesday, September 23, 1903",Cause: Gunfire
Police Officer John J. Donovan,"Philadelphia Police Department, PA","EOW: Friday, September 25, 1903",Cause: Gunfire
Chief of Police P. Jenkins,"Attalla Police Department, AL","EOW: Saturday, September 26, 1903",Cause: Gunfire
Deputy Sheriff Edward N. Griffitts,"Loudon County Sheriff's Department, TN","EOW: Saturday, September 26, 1903",Cause: Gunfire
Policeman James H. Mullin,"Birmingham Police Department, AL","EOW: Sunday, September 27, 1903",Cause: Gunfire
Constable Charles Lott Hays,"Harrison County Constable's Office - Precinct 4, TX","EOW: Thursday, October 1, 1903",Cause: Gunfire
Police Officer Hans E. Drasbach,"Atlanta Police Department, GA","EOW: Saturday, October 3, 1903",Cause: Stabbed
Special Deputy Sheriff John G. Saxton,"Harney County Sheriff's Department, OR","EOW: Sunday, October 4, 1903",Cause: Gunfire
Special Deputy Sheriff Jack West,"Harney County Sheriff's Department, OR","EOW: Sunday, October 4, 1903",Cause: Gunfire
Sub-Patrolman Andrew J. Kelly,"Pittsburgh Police Department, PA","EOW: Sunday, October 4, 1903",Cause: Gunfire
Police Officer Silas Marts,"Pueblo Police Department, CO","EOW: Wednesday, October 7, 1903",Cause: Gunfire
Police Officer Elwin M. Slater,"Pueblo Police Department, CO","EOW: Thursday, October 8, 1903",Cause: Gunfire (Accidental)
Police Officer Isaac Lincoln Hicks,"Bartlesville Police Department, OK","EOW: Friday, October 16, 1903",Cause: Gunfire (Accidental)
Constable William Shields,"Pennsylvania State Constable - Allegheny County, PA","EOW: Friday, October 16, 1903",Cause: Gunfire
City Marshal Marcus Tillman Cage,"Mineola Police Department, TX","EOW: Saturday, October 17, 1903",Cause: Gunfire
Town Marshal George D. Elliott,"Flushing Police Department, OH","EOW: Friday, October 23, 1903",Cause: Gunfire
Patrolman Michael A. O'Rourke,"Chicago Police Department, IL","EOW: Saturday, October 24, 1903",Cause: Gunfire
City Marshal John Henry Brendel,"Knob Noster Police Department, MO","EOW: Saturday, October 24, 1903",Cause: Assault
Chief of Police George A. Airey,"Morgan Park Police Department, IL","EOW: Saturday, October 31, 1903",Cause: Stabbed
Deputy Sheriff Louis Falkenburg,"Weston County Sheriff's Office, WY","EOW: Saturday, October 31, 1903",Cause: Gunfire
Deputy Sheriff Tom Stewart,"Bell County Sheriff's Department, KY","EOW: Sunday, November 1, 1903",Cause: Gunfire
Sheriff Bill Miller,"Weston County Sheriff's Office, WY","EOW: Thursday, November 5, 1903",Cause: Gunfire
Police Officer Isaac Johnston,"Donora Borough Police Department, PA","EOW: Tuesday, November 10, 1903",Cause: Gunfire
Deputy Sheriff Henry O. Richarde,"Bradford County Sheriff's Office, FL","EOW: Thursday, November 19, 1903",Cause: Gunfire
Officer John W. Mahelona,"Honolulu Police Department, HI","EOW: Thursday, November 19, 1903",Cause: Gunfire
Chief of Police Thadeaus Benton Gillis,"Summit Police Department, MS","EOW: Thursday, November 19, 1903",Cause: Gunfire
Acting Night Marshal Jeff Jones,"Starke Police Department, FL","EOW: Friday, November 20, 1903",Cause: Gunfire
"Constable William A. Russell, Jr.","Madison Police Department, AL","EOW: Sunday, November 22, 1903",Cause: Assault
Patrolman John Quinn,"Chicago Police Department, IL","EOW: Sunday, November 22, 1903",Cause: Gunfire
Town Marshal James Joshua Payne,"Fairmount Police Department, IN","EOW: Thursday, November 26, 1903",Cause: Gunfire
"Police Officer James Hume Smith, Jr.","Oakland Police Department, CA","EOW: Friday, November 27, 1903",Cause: Gunfire
Patrolman Joseph D. Driscoll,"Chicago Police Department, IL","EOW: Tuesday, December 1, 1903",Cause: Gunfire
Officer James M. McDade,"Chester Police Department, PA","EOW: Tuesday, December 1, 1903",Cause: Gunfire
Patrolman Frank J. Redican,"New York City Police Department, NY","EOW: Sunday, December 6, 1903",Cause: Fire
Deputy Sheriff Frank W. Milby,"Jackson County Sheriff's Department, TX","EOW: Sunday, December 6, 1903",Cause: Gunfire (Accidental)
Patrolman Benjamin F. Dowell,"Nashville City Police Department, TN","EOW: Monday, December 7, 1903",Cause: Gunfire
Patrolman Louis Weick,"Cleveland Division of Police, OH","EOW: Thursday, December 10, 1903",Cause: Gunfire
Chief of Police William H. Ginter,"Blairsville Borough Police Department, PA","EOW: Monday, December 14, 1903",Cause: Duty related illness
Deputy Sheriff William Henry Rafford,"Suffolk County Sheriff's Office, NY","EOW: Wednesday, December 16, 1903",Cause: Gunfire
Deputy Sheriff B. G. E. Daughtry,"Sampson County Sheriff's Office, NC","EOW: Tuesday, December 22, 1903",Cause: Gunfire
City Marshal L. Elmer Ferguson,"Ringwood Police Department, OK","EOW: Friday, December 25, 1903",Cause: Gunfire
City Marshal William G. Jones,"Cherryvale Police Department, KS","EOW: Monday, December 28, 1903",Cause: Gunfire
Officer Charles Haggerty,"Mobile Police Department, AL","EOW: Wednesday, December 30, 1903",Cause: Gunfire
Captain Charles Ariant,"Louisiana Department of Corrections, LA","EOW: Friday, January 1, 1904",Cause: Gunfire
Special Agent Thomas Gentleman,"Union Pacific Railroad Police Department, RR","EOW: Friday, January 8, 1904",Cause: Gunfire
Keeper Dennis O'Brien,"New York State Department of Correctional Services, NY","EOW: Monday, January 11, 1904",Cause: Struck by train
Patrolman Dennis Fitzgerald,"Chicago Police Department, IL","EOW: Wednesday, January 20, 1904",Cause: Gunfire
Special Deputy Sheriff John Wheat Parsons,"Tyler County Sheriff's Office, TX","EOW: Saturday, January 23, 1904",Cause: Gunfire (Accidental)
Marshal John Henry Hays,"Troy Police Department, ID","EOW: Wednesday, January 27, 1904",Cause: Gunfire
City Marshal William J. Talbott,"La Crosse Police Department, KS","EOW: Monday, February 1, 1904",Cause: Gunfire
City Marshal Ben J. Higbee,"Coyle Police Department, OK","EOW: Monday, February 1, 1904",Cause: Gunfire (Accidental)
Policeman John Burns,"Middlesboro Police Department, KY","EOW: Saturday, February 6, 1904",Cause: Gunfire
Deputy Sheriff Robert Harmon,"Anderson County Sheriff's Department, TN","EOW: Sunday, February 7, 1904",Cause: Gunfire
Deputy Sheriff Arthur A. Wight,"Cochise County Sheriff's Department, AZ","EOW: Wednesday, February 10, 1904",Cause: Gunfire
Special Deputy Edmund Trudeau,"Missoula County Sheriff's Office, MT","EOW: Sunday, February 14, 1904",Cause: Gunfire
Patrolman Frank C. McGinnis,"Kansas City Police Department, MO","EOW: Saturday, February 20, 1904",Cause: Gunfire
"Deputy Marshal Riley Bowman Wright, Sr.","Winnfield Police Department, LA","EOW: Sunday, February 21, 1904",Cause: Gunfire
Constable P. Joseph Deeghan,"Clinton County Sheriff's Office, PA","EOW: Saturday, March 5, 1904",Cause: Gunfire
Police Officer William Cluff Schultz,"Paris Police Department, TX","EOW: Sunday, March 6, 1904",Cause: Gunfire (Accidental)
Patrolman Charles B. Collis,"Springfield Police Department, OH","EOW: Monday, March 7, 1904",Cause: Gunfire
Officer Clarence K. Till,"Key West Police Department, FL","EOW: Thursday, March 10, 1904",Cause: Gunfire
Patrolman Hugh J. Enright,"New York City Police Department, NY","EOW: Sunday, March 20, 1904",Cause: Gunfire
Police Officer Clarence R. Cummings,"Detroit Police Department, MI","EOW: Friday, March 25, 1904",Cause: Gunfire (Accidental)
City Marshal George Greer,"Bloomfield Police Department, MO","EOW: Sunday, March 27, 1904",Cause: Gunfire
Town Marshal Henry Lewelling,"Arroyo Grande Police Department, CA","EOW: Monday, March 28, 1904",Cause: Gunfire
Deputy Jailer Marvin Conover,"Adair County Regional Jail, KY","EOW: Tuesday, March 29, 1904",Cause: Gunfire
Patrolman Casper Mayer,"Pittsburgh Police Department, PA","EOW: Friday, April 1, 1904",Cause: Electrocuted
Assistant Chief of Police J. W. Hawkins,"Lawton Police Department, OK","EOW: Tuesday, April 12, 1904",Cause: Gunfire
Police Officer James Patrick Tucker,"Greenville Police Department, SC","EOW: Tuesday, April 12, 1904",Cause: Gunfire
Town Marshal Frye Haley,"Lebanon Junction Police Department, KY","EOW: Thursday, April 14, 1904",Cause: Gunfire
Constable William Shelton,"Clinton County Constable's Office, KY","EOW: Sunday, April 17, 1904",Cause: Gunfire
"Deputy Sheriff James W. Dunn, II","Benton County Sheriff's Office, OR","EOW: Tuesday, April 26, 1904",Cause: Gunfire
Chief of Police Charles H. Pender,"California Borough Police Department, PA","EOW: Tuesday, April 26, 1904",Cause: Electrocuted
Constable Albert E. Wood,"Wayne County Constable's Office, IL","EOW: Thursday, April 28, 1904",Cause: Gunfire
Constable Fred M. Bristol,"Chino Police Department, CA","EOW: Thursday, May 5, 1904",Cause: Stabbed
Officer James P. McGrath,"Burlington Police Department, VT","EOW: Thursday, May 12, 1904",Cause: Gunfire
Patrolman Ernest Augustus Anthony,"Fort Smith Police Department, AR","EOW: Friday, May 13, 1904",Cause: Struck by train
Patrolman Michael Shaughnessy,"Chicago Police Department, IL","EOW: Sunday, May 22, 1904",Cause: Gunfire (Accidental)
Policeman Fred Stevens,"Havre Police Department, MT","EOW: Wednesday, May 25, 1904",Cause: Gunfire
Deputy Sheriff W. E. Alexander,"Jefferson County Sheriff's Department, TN","EOW: Wednesday, May 25, 1904",Cause: Gunfire
Chief of Police Solomon Bullis,"Rouses Point Police Department, NY","EOW: Saturday, May 28, 1904",Cause: Assault
Guard Henry J. Gearhart,"Ohio Department of Rehabilitation and Correction, OH","EOW: Sunday, May 29, 1904",Cause: Gunfire
Deputy Sheriff James Day,"Letcher County Sheriff's Office, KY","EOW: Monday, May 30, 1904",Cause: Gunfire
Town Marshal John A. Blue,"Pineview Police Department, GA","EOW: Tuesday, May 31, 1904",Cause: Gunfire
Policeman Patrick Dougherty,"Anaconda Police Department, MT","EOW: Friday, June 3, 1904",Cause: Assault
Officer George Washington Bryan,"Greenville Police Department, AL","EOW: Wednesday, June 15, 1904",Cause: Gunfire
Deputy Sheriff W. Emory Hammon,"Gunnison County Sheriff's Office, CO","EOW: Thursday, June 16, 1904",Cause: Gunfire
Police Officer Frank J. Tucker,"Provo Police Department, UT","EOW: Thursday, June 16, 1904",Cause: Gunfire (Accidental)
Marshal Leonard Scherger,"Hartford Police Department, WI","EOW: Saturday, June 18, 1904",Cause: Gunfire
Sheriff Harry Harris,"St. Croix County Sheriff's Department, WI","EOW: Saturday, June 18, 1904",Cause: Gunfire
Sergeant Robert T. Hannah,"Billings Police Department, MT","EOW: Saturday, July 2, 1904",Cause: Gunfire
"Night Policeman Willis T. ""Zonk"" Foster","Greer Police Department, SC","EOW: Saturday, July 2, 1904",Cause: Gunfire
Captain John F. Shinberger,"Richmond Police Department, VA","EOW: Sunday, July 3, 1904",Cause: Gunfire
Patrolman Daniel Norton,"Dubuque Police Department, IA","EOW: Wednesday, July 6, 1904",Cause: Gunfire
"Deputy Sheriff William  ""Will"" Griffith","Marion County Sheriff's Department, TX","EOW: Wednesday, July 6, 1904",Cause: Gunfire
Officer John J. Smith,"Metropolitan Police Department, DC","EOW: Thursday, July 7, 1904",Cause: Gunfire
Constable Columbus W. Jones,"Pickens County Magistrate's Office, SC","EOW: Thursday, July 7, 1904",Cause: Gunfire
Deputy Sheriff Thomas J. McDermott,"Shelby County Sheriff's Office, TN","EOW: Monday, July 11, 1904",Cause: Gunfire
Deputy Sheriff Houston Mitchell,"Shelby County Sheriff's Office, TN","EOW: Monday, July 11, 1904",Cause: Gunfire
Detective Charles J. Cameron,"New York City Police Department, NY","EOW: Sunday, July 17, 1904",Cause: Gunfire (Accidental)
Officer James H. Brown,"Charlotte Police Department, NC","EOW: Tuesday, August 2, 1904",Cause: Heart attack
Constable Daniel O'Brien,"Abington Township Police Department, PA","EOW: Monday, August 8, 1904",Cause: Gunfire
